Title,Price_in_lacs,Auction-rating,img,Model,driven-in_kms,Type,Engine,Transmission_type
Toyota Aqua  2015 S for Sale,"

                        PKR 43 ",9.7/10,https://cache3.pakwheels.com/ad_pictures/9587/tn_toyota-aqua-s-15-2015-95878921.webp,2015,"95,500 km",Hybrid,1500 cc,Automatic
Toyota Prius  2011  for Sale,"

                        PKR 37.5 ",8.5/10,https://cache2.pakwheels.com/ad_pictures/9578/tn_toyota-prius-2011-95786728.webp,2011,"78,000 km",Petrol,1800 cc,Automatic
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,"

                        PKR 63.5 ",7.9/10,https://cache2.pakwheels.com/ad_pictures/9575/tn_honda-civic-oriel-1-8-i-vtec-cvt-2021-95755746.webp,2021,"21,000 km",Petrol,1800 cc,Automatic
KIA Sorento  2023 3.5 FWD for Sale,"

                        PKR 94.99 ",8/10,https://cache1.pakwheels.com/ad_pictures/8152/tn_kia-sorento-3-5-fwd-2023-81529380.webp,2023,35 km,Petrol,3500 cc,Automatic
Toyota Aqua  2016 S for Sale,"

                        PKR 38.75 ",9.4/10,https://cache3.pakwheels.com/ad_pictures/9229/tn_toyota-aqua-s-15-2016-92296445.webp,2016,"100,000 km",Hybrid,1500 cc,Automatic
Honda City  2011 1.3 i-VTEC Prosmatec for Sale,"

                        PKR 23.25 ",3.5/10,https://cache2.pakwheels.com/ad_pictures/9183/tn_honda-city-i-vtec-prosmatec-2011-91836096.webp,2011,"106,000 km",Petrol,1300 cc,Automatic
Toyota Yaris  2021 ATIV MT 1.3 for Sale,"

                        PKR 40 ",7.6/10,https://cache2.pakwheels.com/ad_pictures/9576/tn_toyota-yaris-ativ-mt-1-3-2021-95761436.webp,2021,"6,000 km",Petrol,1300 cc,Manual
Honda BR-V  2021 i-VTEC S for Sale,"

                        PKR 51 ",7.9/10,https://cache1.pakwheels.com/ad_pictures/9577/tn_honda-br-v-i-vtec-s-2021-95774235.webp,2021,"22,000 km",Petrol,1500 cc,Automatic
Toyota Passo  2007 X for Sale,"

                        PKR 16.5 ",4.4/10,https://cache4.pakwheels.com/ad_pictures/9348/tn_toyota-passo-1-0-x-2007-93488469.webp,2007,"190,044 km",Petrol,1000 cc,Automatic
Daihatsu Hijet  2013 Cruise for Sale,"

                        PKR 15.25 ",5.7/10,https://cache4.pakwheels.com/ad_pictures/9568/tn_daihatsu-hijet-van-cruise-2013-95689209.webp,2013,"81,000 km",Petrol,660 cc,Automatic
Toyota Pixis Epoch  2014 X for Sale,"

                        PKR 23 ",7.8/10,https://cache4.pakwheels.com/ad_pictures/9234/tn_toyota-pixis-x-38-2016-92342934.webp,2014,"139,514 km",Petrol,660 cc,Automatic
Toyota Corolla  2020 Altis Grande CVT-i 1.8 for Sale,"

                        PKR 54 ",9.3/10,https://cache2.pakwheels.com/ad_pictures/9429/tn_toyota-corolla-altis-1-8-grande-automatic-2020-94294734.webp,2020,"57,644 km",Petrol,1800 cc,Automatic
Suzuki Alto  2020 VXR for Sale,"

                        PKR 21.5 ",8.2/10,https://cache1.pakwheels.com/ad_pictures/9555/tn_suzuki-alto-vxr-2-2020-95552552.webp,2020,"77,150 km",Petrol,660 cc,Manual
Honda Civic Reborn 2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,"

                        PKR 24.5 ",8.3/10,https://cache1.pakwheels.com/ad_pictures/9571/tn_honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2011-95715418.webp,2011,"98,600 km",Petrol,1800 cc,Automatic
Toyota Mark X  2005 300G Premium for Sale,"

                        PKR 51 ",5.7/10,https://cache3.pakwheels.com/ad_pictures/9572/tn_toyota-mark-x-300g-premium-2005-95727021.webp,2005,"143,187 km",Petrol,3000 cc,Automatic
BMW iX3  2022 M Sport for Sale,"

                        PKR 3.1 ",,https://cache4.pakwheels.com/ad_pictures/9290/tn_bmw-ix3-m-sport-2022-92909540.webp,2022,"7,000 km",Electric,80.0 kWh,Automatic
Nissan Dayz  2020 Highway star G for Sale,"

                        PKR 42.5 ",8.3/10,https://cache2.pakwheels.com/ad_pictures/9458/tn_nissan-dayz-highway-star-3-2020-94588777.webp,2020,"70,000 km",Hybrid,659 cc,Automatic
KIA Sportage  2021 AWD for Sale,"

                        PKR 75 ",10/10,https://cache3.pakwheels.com/ad_pictures/9385/tn_kia-sportage-awd-2021-93852247.webp,2021,"12,675 km",Petrol,1999 cc,Automatic
Toyota Vitz  2013 U 1.0 for Sale,"

                        PKR 24.9 ",,https://cache1.pakwheels.com/ad_pictures/9457/tn_toyota-vitz-1-0-u-2013-94574374.webp,2013,"70,000 km",Petrol,1000 cc,Automatic
Toyota Corolla  2013 2.0D for Sale,"

                        PKR 35 ",,https://cache4.pakwheels.com/ad_pictures/9458/tn_toyota-corolla-2-0d-2013-94582493.webp,2013,"85,000 km",Diesel,2000 cc,Manual
Nissan Sunny  1990  for Sale,"

                        PKR 5 ",,https://cache1.pakwheels.com/ad_pictures/9460/tn_nissan-sunny-1990-94602700.webp,1990,"8,000 km",Petrol,1300 cc,Manual
Honda Vezel  2018 Hybrid Z for Sale,"

                        PKR 74 ",,https://cache3.pakwheels.com/ad_pictures/8588/tn_honda-vezel-hybrid-z-2018-85889241.webp,2018,"71,000 km",Hybrid,1500 cc,Automatic
Honda Civic  2008 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,"

                        PKR 19.5 ",,https://cache1.pakwheels.com/ad_pictures/9461/tn_honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-94613263.webp,2008,"100,000 km",Petrol,1800 cc,Automatic
Nissan Patrol  2016  for Sale,"

                        PKR 2.39 ",,https://cache2.pakwheels.com/ad_pictures/9109/tn_nissan-patrol-2016-91098673.webp,2016,"70,000 km",Diesel,3000 cc,Manual
KIA Classic  2005 LX for Sale,"

                        PKR 6 ",,https://cache2.pakwheels.com/ad_pictures/8501/tn_kia-classic-lx-4-2005-85019559.webp,2005,"100,000 km",CNG,1323 cc,Manual
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,"

                        PKR 66.8 ",,https://cache3.pakwheels.com/ad_pictures/9464/tn_honda-civic-oriel-1-8-i-vtec-cvt-2021-94640960.webp,2021,"48,862 km",Petrol,1800 cc,Automatic
Honda Accord  2003 CL9 for Sale,"

                        PKR 28 ",,https://img.youtube.com/vi/Ec5qTgp_p6A/sddefault.jpg,2003,"105,000 km",Petrol,2400 cc,Automatic
Suzuki Alto  2022 VXL AGS for Sale,"

                        PKR 28.2 ",,https://cache3.pakwheels.com/ad_pictures/9463/tn_suzuki-alto-vxl-2-2022-94635602.webp,2022,"16,000 km",Petrol,660 cc,Automatic
Suzuki Alto  2016  for Sale,"

                        PKR 18.6 ",,https://cache2.pakwheels.com/ad_pictures/9465/tn_suzuki-alto-2016-94650408.webp,2016,"55,000 km",Petrol,660 cc,Automatic
KIA Picanto  2021 1.0 AT for Sale,"

                        PKR 27.5 ",,https://cache1.pakwheels.com/ad_pictures/8991/tn_kia-picanto-1-0-at-2021-89919406.webp,2021,"40,000 km",Petrol,998 cc,Automatic
Toyota Surf  1996 SSR-G 3.0D for Sale,"

                        PKR 34.5 ",,https://cache4.pakwheels.com/ad_pictures/9467/tn_toyota-surf-ssr-g-3-0d-1996-94674510.webp,1996,"10,560 km",Diesel,3000 cc,Automatic
Suzuki FX  1983 GA for Sale,"

                        PKR 2.1 ",,https://cache4.pakwheels.com/ad_pictures/9465/tn_suzuki-fx-ga-3-1983-94655994.webp,1983,"250,000 km",Petrol,800 cc,Manual
Toyota Passo  2021 X S  for Sale,"

                        PKR 41.5 ",,https://cache1.pakwheels.com/ad_pictures/8900/tn_toyota-passo-x-s-2-2021-89000649.webp,2021,"38,750 km",Petrol,1000 cc,Automatic
Toyota Yaris  2022 ATIV MT 1.3 for Sale,"

                        PKR 38.5 ",,https://cache1.pakwheels.com/ad_pictures/9466/tn_toyota-yaris-ativ-mt-1-3-2022-94664768.webp,2022,"53,500 km",Petrol,1300 cc,Manual
