Title,Price_in_lacs,Auction-rating,img,Model,driven-in_kms,Type,Engine,Transmission_type
Honda Vezel  2016 Hybrid Z for Sale,"

                        PKR 62 ",8.8/10,https://cache4.pakwheels.com/ad_pictures/9381/tn_honda-vezel-hybrid-z-2016-93815773.webp,2016,"60,595 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2022 Altis X Automatic 1.6 Special Edition for Sale,"

                        PKR 69 ",8.7/10,https://cache1.pakwheels.com/ad_pictures/9154/tn_toyota-corolla-altis-x-automatic-1-6-special-edition-2022-91547577.webp,2022,"8,494 km",Petrol,1598 cc,Automatic
Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,"

                        PKR 40.6 ",6.4/10,https://cache4.pakwheels.com/ad_pictures/9456/tn_toyota-corolla-gli-vvti-automatic-2019-94567490.webp,2019,"48,000 km",Petrol,1300 cc,Automatic
Toyota Corolla  2023 Altis Grande X CVT-i 1.8 Beige Interior for Sale,"

                        PKR 72.3 ",10/10,https://cache1.pakwheels.com/ad_pictures/9206/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2023-92068463.webp,2023,"4,068 km",Petrol,1800 cc,Automatic
Suzuki Cultus  2006 VXR for Sale,"

                        PKR 5.9 ",4.1/10,https://cache1.pakwheels.com/ad_pictures/9252/tn_suzuki-cultus-vxr-2006-v-1-92529274.webp,2006,"31,592 km",Petrol,1000 cc,Manual
Peugeot 2008  2022 Allure for Sale,"

                        PKR 71 ",9.6/10,https://cache2.pakwheels.com/ad_pictures/9227/tn_peugeot-2008-2022-92276107.webp,2022,"11,540 km",Petrol,1200 cc,Automatic
Toyota Corolla  2017 Altis Automatic 1.6 for Sale,"

                        PKR 39 ",8.1/10,https://cache2.pakwheels.com/ad_pictures/9177/tn_toyota-corolla-altis-1-6-automatic-2017-91772718.webp,2017,"91,053 km",Petrol,1600 cc,Automatic
KIA Sportage  2022 FWD for Sale,"

                        PKR 77 ",10/10,https://cache4.pakwheels.com/ad_pictures/9438/tn_kia-sportage-fwd-2022-94382621.webp,2022,272 km,Petrol,2000 cc,Automatic
Suzuki Alto  2021 VXL AGS for Sale,"

                        PKR 25.5 ",8.7/10,https://cache1.pakwheels.com/ad_pictures/9359/tn_suzuki-alto-vxl-2-2021-93591424.webp,2021,"37,576 km",Petrol,660 cc,Automatic
Toyota Corolla  2013 XLi VVTi for Sale,"

                        PKR 25 ",7.2/10,https://cache3.pakwheels.com/ad_pictures/9381/tn_toyota-corolla-xli-vvti-2013-93818076.webp,2013,"95,245 km",Petrol,1300 cc,Manual
KIA Sportage  2021 AWD for Sale,"

                        PKR 72.5 ",9.8/10,https://cache2.pakwheels.com/ad_pictures/9415/tn_kia-sportage-awd-2021-94154358.webp,2021,"19,367 km",Petrol,2000 cc,Automatic
Suzuki Cultus  2005 VXL for Sale,"

                        PKR 6.5 ",4/10,https://cache1.pakwheels.com/ad_pictures/9442/tn_suzuki-cultus-vxl-2-2005-94428586.webp,2005,"77,803 km",Petrol,1000 cc,Manual
Toyota Aqua  2014 G for Sale,"

                        PKR 40 ",7.7/10,https://cache2.pakwheels.com/ad_pictures/9143/tn_toyota-aqua-2014-91434476.webp,2014,"118,057 km",Hybrid,1500 cc,Automatic
Toyota Prado  2011 TX 2.7 for Sale,"

                        PKR 1.46 ",8.2/10,https://cache4.pakwheels.com/ad_pictures/9007/tn_toyota-prado-tx-4-2011-90078449.webp,2011,"116,000 km",Petrol,2700 cc,Automatic
Suzuki Cultus  2021 VXL for Sale,"

                        PKR 32.5 ",8.7/10,https://cache3.pakwheels.com/ad_pictures/9407/tn_suzuki-cultus-vxl-2-2021-94078658.webp,2021,"35,469 km",Petrol,1000 cc,Manual
BMW 5 Series  2007  for Sale,"

                        Call
                  ",8.9/10,https://cache4.pakwheels.com/ad_pictures/9228/tn_bmw-5-series-2007-92283201.webp,2007,"137,000 km",Petrol,5000 cc,Automatic
Hyundai Tucson  2021 AWD A/T Ultimate for Sale,"

                        PKR 76.5 ",,https://cache4.pakwheels.com/ad_pictures/9363/tn_hyundai-tucson-awd-a-t-ultimate-2021-93630679.webp,2021,"22,114 km",Petrol,2000 cc,Automatic
Jeep Wrangler  1981  for Sale,"

                        PKR 45 ",9.1/10,https://cache4.pakwheels.com/ad_pictures/9276/tn_jeep-wrangler-1981-92762415.webp,1981,"95,000 km",Petrol,2700 cc,Automatic
Suzuki Wagon R  2013 Stingray X for Sale,"

                        PKR 19 ",,https://cache2.pakwheels.com/ad_pictures/9368/tn_suzuki-wagon-r-x-14-2013-93686844.webp,2013,"90,000 km",Petrol,660 cc,Automatic
Mercedes Benz C Class  2021 C 180 Cabriolet for Sale,"

                        PKR 3.25 ",,https://cache3.pakwheels.com/ad_pictures/9367/tn_mercedes-benz-c-class-c-180-cabriolet-2021-93672350.webp,2021,"11,000 km",Petrol,1600 cc,Automatic
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,"

                        PKR 51 ",,https://cache2.pakwheels.com/ad_pictures/9367/tn_honda-civic-oriel-1-8-i-vtec-cvt-2018-93676278.webp,2018,"49,000 km",Petrol,1800 cc,Automatic
